DensityIndex,Rank,Name,POP2010,AREAkm,AREAmi,Density
90,385,"Jackson, TN",71880,132.50,51.10,542.4905660377359
91,427,"Saratoga Springs, NY",64100,117.80,45.50,544.1426146010186
92,455,"Watertown, NY",57840,106.00,40.90,545.6603773584906
93,55,"Birmingham, AL",749495,1372.40,529.90,546.1199358787525
94,148,"Lafayette, LA",252720,462.60,178.60,546.3035019455252
95,272,"Monroe, LA",116533,212.20,81.90,549.1658812441094
96,199,"North Port--Port Charlotte, FL",169541,308.10,118.90,550.2791301525479
97,207,"Muskegon, MI",161280,290.80,112.30,554.6079779917469
98,475,"Pine Bluff, AR",53495,96.30,37.20,555.5036344755971
99,441,"Bangor, ME",61210,110.10,42.50,555.9491371480473
100,336,"Port Huron, MI",87106,156.60,60.40,556.2324393358876
101,258,"Mauldin--Simpsonville, SC",120577,216.40,83.60,557.1950092421441
102,247,"Tyler, TX",130247,233.70,90.20,557.3256311510484
103,75,"Columbia, SC",549777,984.30,380.00,558.5461749466626
104,208,"Clarksville, TN—KY",158655,283.80,109.60,559.0380549682875
105,107,"Jackson, MS",351478,628.00,242.50,559.6783439490446
106,215,"Port Arthur, TX",153150,273.40,105.60,560.16825164594
107,180,"Bremerton, WA",198979,353.50,136.50,562.8826025459689
108,113,"Pensacola, FL—AL",340067,602.50,232.60,564.4265560165975
109,452,"Jefferson City, MO",58533,103.60,40.00,564.9903474903475
110,115,"Mobile, AL",326183,576.90,222.80,565.4064829259837
111,202,"High Point, NC",166485,292.70,113.00,568.7905705500513
112,294,"Jacksonville, NC",105419,184.80,71.30,570.4491341991342
113,417,"Monessen--California, PA",66086,115.80,44.70,570.6908462867012
114,363,"Battle Creek, MI",78393,137.30,53.00,570.9613983976693
115,461,"Staunton--Waynesboro, VA",56611,98.80,38.10,572.9858299595141
116,406,"Rocky Mount, NC",68243,119.00,46.00,573.4705882352941
117,98,"Augusta-Richmond County, GA—SC",386787,672.20,259.50,575.4046414757512
118,297,"Eau Claire, WI",102852,178.70,69.00,575.5567991046447
119,372,"Mansfield, OH",75250,130.30,50.30,577.5134305448963
120,280,"Dover, DE",110769,191.70,74.00,577.8247261345854
121,374,"Auburn, AL",74741,129.30,49.90,578.0433101314771
122,179,"Winter Haven, FL",201289,348.00,134.40,578.4166666666666
123,177,"Portland, ME",203914,352.00,135.90,579.3011363636364
124,106,"Flint, MI",356218,611.00,235.90,583.0081833060557
125,478,"Cape Girardeau, MO—IL",52900,90.70,35.00,583.2414553472988
126,489,"Villas, NJ",51291,87.70,33.90,584.8460661345496
127,477,"Farmington, NM",53049,90.40,34.90,586.8252212389381
128,415,"Zephyrhills, FL",66609,112.70,43.50,591.0292812777285
129,343,"Alton, IL—MO",83890,141.90,54.80,591.1909795630726
130,310,"Vineland, NJ",95259,160.30,61.90,594.2545227698066
131,220,"Sebastian--Vero Beach South--Florida Ridge, FL",149422,250.30,96.70,596.971634039153
132,233,"Tuscaloosa, AL",139114,231.80,89.50,600.1466781708369
133,178,"Huntington, WV—KY—OH",202637,337.60,130.30,600.2280805687203
134,318,"Slidell, LA",91151,151.80,58.60,600.467720685112
135,229,"Panama City, FL",143280,238.00,91.90,602.0168067226891
136,214,"Charleston, WV",153199,254.40,98.20,602.1973270440251
137,324,"Jackson, MI",90057,149.40,57.70,602.7911646586346
138,227,"Elkhart, IN—MI",143592,237.90,91.90,603.5813366960908
139,387,"Florida--Imbery--Barceloneta, PR",71747,118.60,45.80,604.9494097807758
140,122,"Fayetteville, NC",310282,512.90,198.00,604.956131799571
141,129,"Fayetteville--Springdale--Rogers, AR—MO",295083,486.20,187.70,606.916906622789
142,144,"Savannah, GA",260677,428.60,165.50,608.2057862809146
143,419,"Glens Falls, NY",65443,107.60,41.60,608.2063197026023
144,226,"Houma, LA",144875,236.80,91.40,611.8032094594595
145,313,"Decatur, IL",93863,153.30,59.20,612.283105022831
146,411,"Parkersburg, WV—OH",67229,109.80,42.40,612.2859744990893
147,279,"Lady Lake--The Villages, FL",112991,184.10,71.10,613.7479630635524
148,484,"Cumberland, MD—WV—PA",51899,84.50,32.60,614.189349112426
149,375,"Wausau, WI",74632,121.40,46.90,614.7611202635914
150,173,"Kalamazoo, MI",209703,341.10,131.70,614.7845206684257
151,186,"Fort Walton Beach--Navarre--Wright, FL",191917,312.10,120.50,614.9214995193847
152,490,"Monroe, MI",51240,83.10,32.10,616.6064981949459
153,81,"Worcester, MA—CT",486514,787.60,304.10,617.7171152869477
154,78,"Cape Coral, FL",530290,855.50,330.30,619.8597311513735
155,399,"St. Augustine, FL",69173,111.50,43.10,620.3856502242153
156,97,"Youngstown, OH—PA",387550,624.40,241.10,620.6758488148623
157,126,"Shreveport, LA",298317,479.70,185.20,621.8824265165729
158,222,"Beaumont, TX",147922,237.50,91.70,622.8294736842105
159,283,"Waldorf, MD",109919,176.10,68.00,624.1851220897217
160,68,"Baton Rouge, LA",594309,950.00,366.80,625.5884210526316
161,91,"Lancaster, PA",402004,641.10,247.50,627.053501793792
162,251,"Grand Junction, CO",128124,204.10,78.80,627.7511024007839
163,169,"Aberdeen--Bel Air South--Bel Air North, MD",213751,339.60,131.10,629.4199057714958
164,474,"Bloomsburg--Berwick, PA",53618,84.70,32.70,633.0342384887839
165,237,"Harlingen, TX",135663,214.30,82.80,633.0517965468969
166,161,"Wilmington, NC",219957,346.50,133.80,634.7965367965368
167,421,"Conway, AR",65277,102.80,39.70,634.9902723735408
168,486,"Hinesville, GA",51456,80.70,31.10,637.6208178438661
169,232,"Arecibo, PR",139171,217.70,84.10,639.2788240698209
170,267,"Redding, CA",117731,184.00,71.10,639.8423913043479
171,121,"Bonita Springs, FL",310298,484.20,187.00,640.8467575382074
172,341,"Prescott Valley--Prescott, AZ",84744,132.00,51.00,642.0
173,88,"Little Rock, AR",431388,669.00,258.30,644.8251121076233
174,323,"Temple, TX",90390,140.10,54.10,645.1820128479658
175,195,"Olympia--Lacey, WA",176617,273.50,105.60,645.7659963436929
176,339,"Fajardo, PR",85225,131.60,50.80,647.6063829787234
177,446,"Lewiston, ME",59397,91.70,35.40,647.73173391494
178,135,"Canton, OH",279245,431.10,166.50,647.7499420088146
179,326,"Santa Fe, NM",89284,137.50,53.10,649.3381818181819
180,120,"Greensboro, NC",311810,479.70,185.20,650.0104231811549
181,38,"Charlotte, NC—SC",1249442,1920.50,741.50,650.5816193699558
182,299,"Holland, MI",99941,153.40,59.20,651.5058670143416
183,172,"Roanoke, VA",210111,321.60,124.20,653.3302238805969
184,356,"Juana Díaz, PR",80928,123.80,47.80,653.6995153473345
185,418,"Michigan City--La Porte, IN—MI",66025,100.90,39.00,654.3607532210109
186,9,"Atlanta, GA",4515419,6851.40,2645.40,659.0505590098375
187,50,"Raleigh, NC",884891,1342.00,518.10,659.3822652757079
188,260,"Duluth, MN—WI",120378,182.50,70.50,659.6054794520549
189,366,"Lebanon, PA",77086,116.70,45.10,660.5484147386461
190,492,"Danville, IL",50996,77.20,29.80,660.5699481865284
191,86,"Harrisburg, PA",444474,672.60,259.70,660.8296164139161
192,437,"Kokomo, IN",62182,93.90,36.30,662.2151224707135
193,142,"Montgomery, AL",263907,397.80,153.60,663.4162895927601
194,44,"Nashville-Davidson, TN",969587,1459.40,563.50,664.373715225435
195,438,"Sherman, TX",61900,93.10,35.90,664.8764769065522
196,241,"Murfreesboro, TN",133228,200.30,77.30,665.1422865701447
197,364,"Bowling Green, KY",78306,117.60,45.40,665.8673469387755
198,147,"Columbus, GA—AL",253602,380.80,147.10,665.9716386554621
199,136,"South Bend, IN—MI",278165,417.20,161.10,666.7425695110259
200,353,"Wheeling, WV—OH",81249,121.80,47.00,667.0689655172414
201,328,"Blacksburg, VA",88542,132.60,51.20,667.737556561086
202,316,"Terre Haute, IN",92742,138.40,53.50,670.1011560693642
203,257,"Fort Smith, AR—OK",122947,183.30,70.80,670.7419530823786
204,308,"Middletown, OH",97503,145.30,56.10,671.0461114934617
205,337,"Springfield, OH",85256,126.80,49.00,672.3659305993691
206,480,"Sierra Vista, AZ",52745,78.40,30.30,672.7678571428571
207,206,"Springfield, IL",161316,239.10,92.30,674.6800501882058
208,71,"Akron, OH",569499,842.70,325.40,675.8027767888929
209,390,"Bay City, MI",70585,104.40,40.30,676.1015325670497
210,158,"York, PA",232045,342.40,132.20,677.7015186915888
211,285,"Burlington, VT",108740,159.90,61.80,680.0500312695434
212,448,"Pittsfield, MA",59124,86.80,33.50,681.1520737327189
213,253,"Saginaw, MI",126265,184.40,71.20,684.7342733188719
214,225,"Marysville, WA",145140,211.90,81.80,684.9457291175082
215,405,"West Bend, WI",68444,99.70,38.50,686.4994984954865
216,65,"Springfield, MA—CT",621300,902.80,348.60,688.1922906513071
217,400,"Johnstown, PA",69014,100.00,38.60,690.14
218,47,"Hartford, CT",924859,1337.10,516.30,691.6902251140529
219,496,"Grand Island, NE",50440,72.90,28.10,691.9067215363511
220,373,"Lake Jackson--Angleton, TX",74830,108.00,41.70,692.8703703703703
221,143,"Lakeland, FL",262596,378.20,146.00,694.3310417768377
222,407,"Elmira, NY",67983,97.90,37.80,694.4126659856996
223,269,"Leominster--Fitchburg, MA",116960,168.40,65.00,694.5368171021378
224,154,"Conroe--The Woodlands, TX",239938,345.30,133.30,694.8682305241819
225,369,"Newark, OH",76068,109.10,42.10,697.2318973418882
226,191,"Lorain--Elyria, OH",180956,259.50,100.20,697.3256262042389
227,266,"Greenville, NC",117798,168.90,65.20,697.4422735346359
228,101,"Port St. Lucie, FL",376047,539.00,208.10,697.6753246753246
229,470,"Titusville, FL",54386,77.90,30.10,698.1514762516045
230,476,"Lake Havasu City, AZ",53427,76.50,29.50,698.3921568627451
231,231,"Fredericksburg, VA",141238,201.50,77.80,700.9330024813896
232,429,"Twin Rivers--Hightstown, NJ",64037,91.30,35.20,701.3910186199344
233,348,"Missoula, MT",82157,117.10,45.20,701.596925704526
234,460,"Hazleton, PA",56827,80.90,31.20,702.4351050679851
235,119,"Fort Wayne, IN",313492,445.80,172.10,703.2122027815163
236,278,"Waterloo, IA",113418,161.20,62.20,703.5856079404467
237,435,"Mount Vernon, WA",62966,89.30,34.50,705.1063829787234
238,416,"Hanover, PA",66301,93.50,36.10,709.1016042780749
239,209,"Manchester, NH",158377,223.10,86.20,709.8924249215598
240,72,"New Haven, CT",562839,792.80,306.10,709.9381937436933
241,483,"Lewiston, ID—WA",51924,73.10,28.20,710.3146374829001
242,236,"Pueblo, CO",136550,192.20,74.20,710.4578563995838
243,432,"Beloit, WI—IL",63835,89.00,34.40,717.2471910112359
244,494,"Grants Pass, OR",50520,70.40,27.20,717.6136363636363
245,139,"Peoria, IL",266921,371.70,143.50,718.1086898036051
246,453,"Middletown, NY",58381,81.10,31.30,719.8643649815044
247,398,"Winchester, VA",69449,96.30,37.20,721.1734164070613
248,76,"Charleston--North Charleston, SC",548404,759.80,293.40,721.7741510923928
249,393,"Morgantown, WV",70350,97.10,37.50,724.5108135942328
250,268,"Utica, NY",117328,161.60,62.40,726.0396039603961
251,217,"Topeka, KS",150003,206.10,79.60,727.8165938864629
252,190,"Deltona, FL",182169,249.80,96.50,729.2594075260208
253,153,"Tallahassee, FL",240223,327.60,126.50,733.2814407814408
254,130,"Round Lake Beach--McHenry--Grayslake, IL—WI",290373,395.20,152.60,734.7494939271255
255,468,"Fond du Lac, WI",54901,74.70,28.90,734.9531459170013
256,196,"Waco, TX",172378,233.80,90.30,737.2882805816937
257,110,"Durham, NC",347602,470.70,181.70,738.4788612704483
258,27,"Pittsburgh, PA",1733853,2344.40,905.20,739.5721719843029
259,125,"Ann Arbor, MI",306022,413.30,159.60,740.4355189934672
260,61,"Allentown, PA—NJ",664651,896.90,346.30,741.0536291671312
261,138,"Springfield, MO",273724,368.60,142.30,742.6044492674986
262,352,"Rapid City, SD",81251,109.40,42.30,742.6965265082266
263,230,"Frederick, MD",141576,190.10,73.40,744.7448711204629
264,159,"Evansville, IN—KY",229351,307.80,118.80,745.1299545159194
265,45,"Richmond, VA",953556,1274.70,492.20,748.0630736643916
266,354,"St. Joseph, MO—KS",81176,108.40,41.90,748.8560885608856
267,127,"Rockford, IL",296863,396.30,153.00,749.0865505929851
268,322,"Muncie, IN",90580,120.90,46.70,749.2142266335815
269,109,"Palm Coast--Daytona Beach--Port Orange, FL",349064,464.50,179.30,751.4833153928956
270,431,"Longview, WA—OR",63952,85.10,32.90,751.4923619271445
271,62,"Tulsa, OK",655479,870.00,335.90,753.4241379310345
272,84,"Palm Bay--Melbourne, FL",452791,600.80,232.00,753.6468042609854
273,319,"Yauco, PR",90899,120.60,46.60,753.7230514096186
274,292,"Sioux City, IA—NE—SD",106494,140.80,54.40,756.3494318181818
275,176,"Green Bay, WI",206520,272.00,105.00,759.2647058823529
276,358,"Guayama, PR",80155,105.50,40.70,759.7630331753554
277,114,"Victorville--Hesperia, CA",328454,432.10,166.80,760.1342281879195
278,64,"Sarasota--Bradenton, FL",643260,846.10,326.70,760.2647441200803
279,301,"Wichita Falls, TX",99437,130.40,50.40,762.5536809815951
280,298,"La Crosse, WI—MN",100868,132.10,51.00,763.5730507191522
281,48,"Bridgeport--Stamford, CT—NY",923311,1207.50,466.20,764.6467908902691
282,118,"Lansing, MI",313532,409.70,158.20,765.2721503539175
283,117,"Kissimmee, FL",314071,409.90,158.30,766.2137106611369
284,150,"Atlantic City, NJ",248402,324.10,125.10,766.4362850971921
285,479,"San Marcos, TX",52826,68.90,26.60,766.7053701015965
286,250,"Las Cruces, NM",128600,167.60,64.70,767.3031026252984
287,315,"San Angelo, TX",92984,120.90,46.70,769.0984284532672
288,409,"Dubuque, IA—IL",67818,87.50,33.80,775.0628571428572
289,361,"Lafayette--Louisville--Erie, CO",79407,102.40,39.50,775.458984375
290,40,"Jacksonville, FL",1065219,1373.60,530.40,775.4943214909727
291,67,"Albany--Schenectady, NY",594962,765.90,295.70,776.8142055098577
292,467,"Columbus, IN",54933,70.60,27.30,778.0878186968839
293,464,"Walla Walla, WA—OR",55805,71.70,27.70,778.3124128312412
294,282,"Abilene, TX",110421,141.80,54.70,778.7094499294781
295,255,"Columbia, MO",124748,160.10,61.80,779.1880074953154
296,134,"Davenport, IA—IL",280051,358.00,138.20,782.2653631284916
297,70,"Grand Rapids, MI",569935,726.70,280.60,784.2782441172423
298,57,"McAllen, TX",728825,927.20,358.00,786.0493960310612
299,321,"Idaho Falls, ID",90733,115.30,44.50,786.9297484822204
300,284,"Mayagüez, PR",109572,139.20,53.70,787.1551724137931
301,43,"Louisville/Jefferson County, KY—IN",972546,1234.70,476.70,787.6779784563051
302,413,"Harrisonburg, VA",66784,84.30,32.60,792.2182680901542
303,171,"Kennewick--Pasco, WA",210975,265.40,102.50,794.9321778447627
304,340,"Lee's Summit, MO",85081,107.00,41.30,795.1495327102804
305,59,"Dayton, OH",724091,910.20,351.40,795.529553944188
306,30,"Cincinnati, OH—KY—IN",1624827,2040.20,787.70,796.4057445348495
307,384,"Flagstaff, AZ",71957,90.20,34.80,797.749445676275
308,423,"El Paso de Robles (Paso Robles)--Atascadero, CA",65088,81.40,31.40,799.6068796068796
309,165,"Appleton, WI",216154,268.80,103.80,804.1443452380952
310,304,"Coeur d'Alene, ID",98378,122.30,47.20,804.3990188062143
311,391,"Owensboro, KY",70543,87.60,33.80,805.2853881278539
312,377,"Cheyenne, WY",73588,91.00,35.10,808.6593406593406
313,422,"Great Falls, MT",65207,80.60,31.10,809.0198511166253
314,51,"Oklahoma City, OK",861505,1063.50,410.60,810.0658204043253
315,33,"Indianapolis, IN",1487483,1827.90,705.70,813.7660703539581
316,344,"Bend, OR",83794,102.90,39.70,814.3245869776482
317,80,"Toledo, OH—MI",507643,622.70,240.40,815.2288421390717
318,349,"Bismarck, ND",81955,100.40,38.80,816.2848605577689
319,90,"Syracuse, NY",412317,504.90,194.90,816.6310160427807
320,462,"Williamsport, PA",56142,68.60,26.50,818.396501457726
321,424,"Casper, WY",64548,78.60,30.30,821.2213740458016
322,288,"Rochester, MN",107677,131.00,50.60,821.9618320610687
323,193,"Cedar Rapids, IA",177844,216.10,83.50,822.9708468301712
324,41,"Memphis, TN—MS—AR",1060061,1288.00,497.30,823.0287267080745
325,210,"Binghamton, NY—PA",158084,192.00,74.10,823.3541666666666
326,388,"Sheboygan, WI",71313,86.60,33.40,823.4757505773673
327,359,"Altoona, PA",79930,96.80,37.40,825.7231404958678
328,412,"Wenatchee, WA",67227,81.30,31.40,826.9003690036901
329,312,"Lawton, OK",94457,114.20,44.10,827.1190893169877
330,252,"Odessa, TX",126405,152.60,58.90,828.3420707732635
331,185,"Waterbury, CT",194535,233.80,90.30,832.0573139435414
332,187,"Gainesville, FL",187781,225.40,87.00,833.1011535048802
333,311,"Logan, UT",94983,113.80,43.90,834.6485061511423
334,248,"Yakima, WA",129534,155.00,59.80,835.7032258064517
335,303,"Gilroy--Morgan Hill, CA",98413,117.70,45.40,836.1342395921835
336,273,"Billings, MT",114773,137.20,53.00,836.5379008746356
337,473,"Ithaca, NY",53661,63.70,24.60,842.4018838304552
338,216,"Nampa, ID",151499,179.70,69.40,843.066221480245
339,456,"Mankato, MN",57584,68.30,26.40,843.1039531478771
340,39,"Providence, RI—MA",1190956,1411.70,545.10,843.6324998229085
341,305,"St. George, UT",98370,116.30,44.90,845.8297506448839
342,434,"Victoria, TX",63683,75.20,29.00,846.8484042553191
343,83,"Wichita, KS",472870,556.20,214.70,850.1797914419273
344,281,"St. Cloud, MN",110621,130.10,50.30,850.2767102229055
345,350,"Kankakee, IL",81926,96.20,37.20,851.6216216216216
346,60,"Rochester, NY",720572,840.40,324.50,857.415516420752
347,265,"Midland, TX",117807,137.00,52.90,859.9051094890511
348,10,"Boston, MA—NH—RI",4181019,4852.20,1873.50,861.6749103499444
349,99,"Scranton-Wilkes-Barre, Pennsylvania",381502,442.30,170.80,862.541261587158
350,181,"Avondale--Goodyear, AZ",197041,227.70,87.90,865.3535353535354
351,31,"Kansas City, MO—KS",1519417,1755.60,677.80,865.4687856003646
352,85,"Des Moines, IA",450070,519.50,200.60,866.3522617901829
353,395,"Pocatello, ID",69809,80.30,31.00,869.3524283935243
354,482,"Arroyo Grande--Grover Beach, CA",52000,59.60,23.00,872.48322147651
355,396,"Janesville, WI",69658,79.70,30.80,874.0025094102886
356,198,"McKinney, TX",170030,191.90,74.10,886.0343929129755
357,238,"Yuma, AZ—CA",135267,152.30,58.80,888.161523309258
358,488,"Casa Grande, AZ",51331,57.70,22.30,889.6187175043327
359,223,"Lafayette, IN",147725,166.00,64.10,889.9096385542168
360,25,"Cleveland, OH",1780673,1999.40,772.00,890.6036811043313
361,296,"Norman, OK",103898,116.20,44.90,894.130808950086
362,20,"St. Louis, MO—IL",2150706,2392.20,923.60,899.0494105843993
363,290,"Iowa City, IA",106621,118.00,45.60,903.5677966101695
364,96,"Spokane, WA",387847,425.30,164.20,911.9374559134728
365,459,"Albany, OR",56997,62.10,24.00,917.8260869565217
366,275,"Bellingham, WA",114473,124.60,48.10,918.7239165329054
367,213,"Medford, OR",154081,167.60,64.70,919.337708830549
368,52,"Tucson, AZ",843168,915.50,353.50,920.991807755325
369,94,"Reno, NV—CA",392141,425.70,164.40,921.1674888419075
370,183,"Erie, PA",196611,213.00,82.20,923.056338028169
371,197,"College Station--Bryan, TX",171345,185.00,71.40,926.1891891891892
372,111,"Indio--Cathedral City, CA",345580,372.40,143.80,927.9806659505908
373,141,"Fort Collins, CO",264465,284.00,109.70,931.2147887323944
374,376,"Oshkosh, WI",74495,79.80,30.80,933.5213032581454
375,182,"Amarillo, TX",196651,210.20,81.20,935.5423406279734
376,256,"Kenosha, WI—IL",124064,132.60,51.20,935.6259426847663
377,286,"Bloomington, IN",108657,116.00,44.80,936.698275862069
378,212,"Sioux Falls, SD",156777,166.20,64.20,943.303249097473
379,155,"Lubbock, TX",237356,249.80,96.50,950.1841473178542
380,46,"Buffalo, NY",935906,984.00,379.90,951.1239837398374
381,21,"San Juan, PR",2148346,2244.70,866.70,957.074887512808
382,440,"Grand Forks, ND—MN",61270,63.30,24.40,967.9304897314377
383,168,"Thousand Oaks, CA",214811,221.80,85.60,968.4896302975653
384,77,"Ogden--Layton, UT",546026,563.50,217.60,968.9902395740905
385,194,"Fargo, ND—MN",176676,182.00,70.30,970.7472527472528
386,454,"Carson City, NV",58079,59.80,23.10,971.2207357859533
387,104,"Denton--Lewisville, TX",366174,376.00,145.20,973.8670212765958
388,35,"Milwaukee, WI",1376476,1413.20,545.60,974.0135861873762
389,32,"Orlando, FL",1510516,1548.00,597.70,975.7855297157623
390,17,"Tampa--St. Petersburg, FL",2441770,2478.60,957.00,985.1408052933108
391,140,"Reading, PA",266254,269.00,103.80,989.7918215613383
392,163,"Killeen, TX",217630,219.70,84.80,990.5780609922622
393,16,"Minneapolis--St. Paul, MN—WI",2650890,2646.50,1021.80,1001.6587946344229
394,445,"Ames, IA",60438,60.20,23.20,1003.9534883720929
395,37,"Austin, TX",1362416,1354.70,523.00,1005.6957259909943
396,108,"Boise, ID",349684,346.60,133.80,1008.8978649740334
397,469,"Manhattan, KS",54622,53.60,20.70,1019.0671641791045
398,404,"DeKalb, IL",68545,66.80,25.80,1026.122754491018
399,92,"Madison, WI",401661,391.10,151.00,1027.0033239580669
400,116,"Corpus Christi, TX",320069,311.50,120.30,1027.5088282504014
401,164,"Brownsville, TX",217585,211.20,81.50,1030.2320075757577
