['DensityIndex', 'Rank', 'Name', 'POP2010', 'AREAkm', 'AREAmi', 'Density']
93,404,"DeKalb, IL",68545,66.80,25.80,1026.122754491018
94,409,"Dubuque, IA—IL",67818,87.50,33.80,775.0628571428572
95,458,"Daphne--Fairhope, AL",57383,143.10,55.30,400.99930118798045
96,471,"Delano, CA",54372,25.70,9.90,2115.6420233463036
97,492,"Danville, IL",50996,77.20,29.80,660.5699481865284
98,151,"Eugene, OR",247421,224.70,86.80,1101.1170449488206
99,159,"Evansville, IN—KY",229351,307.80,118.80,745.1299545159194
100,183,"Erie, PA",196611,213.00,82.20,923.056338028169
101,227,"Elkhart, IN—MI",143592,237.90,91.90,603.5813366960908
102,289,"El Centro--Calexico, CA",107672,77.70,30.00,1385.7400257400257
103,297,"Eau Claire, WI",102852,178.70,69.00,575.5567991046447
104,379,"Elizabethtown--Radcliff, KY",73467,147.50,57.00,498.0813559322034
105,407,"Elmira, NY",67983,97.90,37.80,694.4126659856996
106,423,"El Paso de Robles (Paso Robles)--Atascadero, CA",65088,81.40,31.40,799.6068796068796
107,472,"East Stroudsburg, PA—NJ",54316,134.90,52.10,402.6389918458117
108,106,"Flint, MI",356218,611.00,235.90,583.0081833060557
109,119,"Fort Wayne, IN",313492,445.80,172.10,703.2122027815163
110,122,"Fayetteville, NC",310282,512.90,198.00,604.956131799571
111,129,"Fayetteville--Springdale--Rogers, AR—MO",295083,486.20,187.70,606.916906622789
112,141,"Fort Collins, CO",264465,284.00,109.70,931.2147887323944
113,186,"Fort Walton Beach--Navarre--Wright, FL",191917,312.10,120.50,614.9214995193847
114,194,"Fargo, ND—MN",176676,182.00,70.30,970.7472527472528
115,230,"Frederick, MD",141576,190.10,73.40,744.7448711204629
116,231,"Fredericksburg, VA",141238,201.50,77.80,700.9330024813896
117,240,"Fairfield, CA",133683,102.20,39.50,1308.0528375733854
118,257,"Fort Smith, AR—OK",122947,183.30,70.80,670.7419530823786
119,325,"Florence, SC",89557,184.00,71.10,486.7228260869565
120,339,"Fajardo, PR",85225,131.60,50.80,647.6063829787234
121,368,"Florence, AL",77074,160.90,62.10,479.0180236171535
122,384,"Flagstaff, AZ",71957,90.20,34.80,797.749445676275
123,387,"Florida--Imbery--Barceloneta, PR",71747,118.60,45.80,604.9494097807758
124,425,"Fairbanks, AK",64513,142.80,55.10,451.7717086834734
125,468,"Fond du Lac, WI",54901,74.70,28.90,734.9531459170013
126,477,"Farmington, NM",53049,90.40,34.90,586.8252212389381
127,120,"Greensboro, NC",311810,479.70,185.20,650.0104231811549
128,175,"Gulfport, MS",208948,426.10,164.50,490.3731518422905
129,176,"Green Bay, WI",206520,272.00,105.00,759.2647058823529
130,187,"Gainesville, FL",187781,225.40,87.00,833.1011535048802
131,200,"Gastonia, NC—SC",169495,359.10,138.60,471.9994430520746
132,245,"Gainesville, GA",130846,327.00,126.30,400.1406727828746
133,251,"Grand Junction, CO",128124,204.10,78.80,627.7511024007839
134,264,"Greeley, CO",117825,106.80,41.20,1103.2303370786517
135,266,"Greenville, NC",117798,168.90,65.20,697.4422735346359
136,303,"Gilroy--Morgan Hill, CA",98413,117.70,45.40,836.1342395921835
137,358,"Guayama, PR",80155,105.50,40.70,759.7630331753554
138,419,"Glens Falls, NY",65443,107.60,41.60,608.2063197026023
139,422,"Great Falls, MT",65207,80.60,31.10,809.0198511166253
140,426,"Gadsden, AL",64172,186.60,72.00,343.9013933547696
141,440,"Grand Forks, ND—MN",61270,63.30,24.40,967.9304897314377
142,442,"Goldsboro, NC",61054,137.00,52.90,445.64963503649636
143,494,"Grants Pass, OR",50520,70.40,27.20,717.6136363636363
144,496,"Grand Island, NE",50440,72.90,28.10,691.9067215363511
145,132,"Huntsville, AL",286692,543.30,209.80,527.6863611264495
146,170,"Hickory, NC",212195,677.60,261.60,313.1567296340024
147,178,"Huntington, WV—KY—OH",202637,337.60,130.30,600.2280805687203
148,189,"Hagerstown, MD—WV—PA",182696,345.30,133.30,529.0935418476687
149,202,"High Point, NC",166485,292.70,113.00,568.7905705500513
150,205,"Hemet, CA",163379,127.20,49.10,1284.4261006289307
151,226,"Houma, LA",144875,236.80,91.40,611.8032094594595
152,237,"Harlingen, TX",135663,214.30,82.80,633.0517965468969
153,299,"Holland, MI",99941,153.40,59.20,651.5058670143416
154,333,"Hanford, CA",87941,71.90,27.70,1223.1015299026424
155,355,"Homosassa Springs--Beverly Hills--Citrus Springs, FL",80962,234.30,90.50,345.5484421681605
156,357,"Hattiesburg, MS",80358,178.70,69.00,449.6810296586458
157,401,"Hilton Head Island, SC",68998,175.10,67.60,394.0491147915477
158,410,"Hammond, LA",67629,198.50,76.60,340.7002518891688
159,413,"Harrisonburg, VA",66784,84.30,32.60,792.2182680901542
160,416,"Hanover, PA",66301,93.50,36.10,709.1016042780749
161,460,"Hazleton, PA",56827,80.90,31.20,702.4351050679851
162,466,"Hot Springs, AR",55121,116.40,44.90,473.5481099656357
163,486,"Hinesville, GA",51456,80.70,31.10,637.6208178438661
164,111,"Indio--Cathedral City, CA",345580,372.40,143.80,927.9806659505908
165,290,"Iowa City, IA",106621,118.00,45.60,903.5677966101695
166,321,"Idaho Falls, ID",90733,115.30,44.50,786.9297484822204
167,473,"Ithaca, NY",53661,63.70,24.60,842.4018838304552
168,107,"Jackson, MS",351478,628.00,242.50,559.6783439490446
169,259,"Johnson City, TN",120415,284.70,109.90,422.95398665261683
170,294,"Jacksonville, NC",105419,184.80,71.30,570.4491341991342
171,324,"Jackson, MI",90057,149.40,57.70,602.7911646586346
172,347,"Joplin, MO",82775,166.80,64.40,496.2529976019184
173,356,"Juana Díaz, PR",80928,123.80,47.80,653.6995153473345
174,385,"Jackson, TN",71880,132.50,51.10,542.4905660377359
175,396,"Janesville, WI",69658,79.70,30.80,874.0025094102886
176,400,"Johnstown, PA",69014,100.00,38.60,690.14
177,420,"Jonesboro, AR",65419,121.60,47.00,537.985197368421
178,452,"Jefferson City, MO",58533,103.60,40.00,564.9903474903475
179,117,"Kissimmee, FL",314071,409.90,158.30,766.2137106611369
180,163,"Killeen, TX",217630,219.70,84.80,990.5780609922622
181,171,"Kennewick--Pasco, WA",210975,265.40,102.50,794.9321778447627
182,173,"Kalamazoo, MI",209703,341.10,131.70,614.7845206684257
183,256,"Kenosha, WI—IL",124064,132.60,51.20,935.6259426847663
184,277,"Kailua (Honolulu County)--Kaneohe, HI",113682,101.10,39.00,1124.4510385756678
185,291,"Kingsport, TN—VA",106571,294.10,113.60,362.3631417885073
186,350,"Kankakee, IL",81926,96.20,37.20,851.6216216216216
187,437,"Kokomo, IN",62182,93.90,36.30,662.2151224707135
188,457,"Kingston, NY",57442,110.90,42.80,517.9621280432822
189,463,"Kahului, HI",55934,43.20,16.70,1294.7685185185185
190,112,"Lancaster--Palmdale, CA",341219,299.10,115.50,1140.819124038783
191,118,"Lansing, MI",313532,409.70,158.20,765.2721503539175
192,131,"Lexington-Fayette, KY",290263,226.70,87.50,1280.3837670930745
193,143,"Lakeland, FL",262596,378.20,146.00,694.3310417768377
194,145,"Lincoln, NE",258719,229.10,88.50,1129.2841553906592
195,148,"Lafayette, LA",252720,462.60,178.60,546.3035019455252
196,155,"Lubbock, TX",237356,249.80,96.50,950.1841473178542
197,157,"Laredo, TX",235730,170.10,65.70,1385.8318636096415
198,191,"Lorain--Elyria, OH",180956,259.50,100.20,697.3256262042389
199,223,"Lafayette, IN",147725,166.00,64.10,889.9096385542168
200,228,"Lake Charles, LA",143440,327.70,126.50,437.7174244736039
201,244,"Leesburg--Eustis--Tavares, FL",131337,244.60,94.40,536.9460343417825
202,250,"Las Cruces, NM",128600,167.60,64.70,767.3031026252984
203,269,"Leominster--Fitchburg, MA",116960,168.40,65.00,694.5368171021378
204,271,"Lynchburg, VA",116636,230.00,88.80,507.11304347826086
205,279,"Lady Lake--The Villages, FL",112991,184.10,71.10,613.7479630635524
206,298,"La Crosse, WI—MN",100868,132.10,51.00,763.5730507191522
207,302,"Longview, TX",98884,215.10,83.00,459.7117619711762
208,311,"Logan, UT",94983,113.80,43.90,834.6485061511423
209,312,"Lawton, OK",94457,114.20,44.10,827.1190893169877
210,320,"Longmont, CO",90897,67.90,26.20,1338.6892488954343
211,332,"Lawrence, KS",88053,78.80,30.40,1117.4238578680204
212,340,"Lee's Summit, MO",85081,107.00,41.30,795.1495327102804
213,351,"Livermore, CA",81624,63.40,24.50,1287.4447949526814
214,361,"Lafayette--Louisville--Erie, CO",79407,102.40,39.50,775.458984375
215,366,"Lebanon, PA",77086,116.70,45.10,660.5484147386461
216,373,"Lake Jackson--Angleton, TX",74830,108.00,41.70,692.8703703703703
217,381,"Lima, OH",72852,135.60,52.40,537.2566371681417
218,403,"Lodi, CA",68738,41.20,15.90,1668.398058252427
219,431,"Longview, WA—OR",63952,85.10,32.90,751.4923619271445
220,433,"Los Lunas, NM",63758,179.40,69.30,355.3957636566332
221,446,"Lewiston, ME",59397,91.70,35.40,647.73173391494
222,451,"Lexington Park--California--Chesapeake Ranch Estates, MD",58875,129.30,49.90,455.3364269141531
223,476,"Lake Havasu City, AZ",53427,76.50,29.50,698.3921568627451
224,483,"Lewiston, ID—WA",51924,73.10,28.20,710.3146374829001
225,485,"Lompoc, CA",51509,27.70,10.70,1859.5306859205778
226,105,"Modesto, CA",358172,238.00,91.90,1504.9243697478992
227,115,"Mobile, AL",326183,576.90,222.80,565.4064829259837
228,142,"Montgomery, AL",263907,397.80,153.60,663.4162895927601
229,166,"Myrtle Beach--Socastee, SC—NC",215304,493.10,190.40,436.6335428919083
230,198,"McKinney, TX",170030,191.90,74.10,886.0343929129755
231,207,"Muskegon, MI",161280,290.80,112.30,554.6079779917469
232,209,"Manchester, NH",158377,223.10,86.20,709.8924249215598
233,213,"Medford, OR",154081,167.60,64.70,919.337708830549
234,225,"Marysville, WA",145140,211.90,81.80,684.9457291175082
235,234,"Macon, GA",137570,253.90,98.00,541.8274911382434
236,235,"Merced, CA",136969,123.10,47.50,1112.6645004061738
237,241,"Murfreesboro, TN",133228,200.30,77.30,665.1422865701447
238,258,"Mauldin--Simpsonville, SC",120577,216.40,83.60,557.1950092421441
239,265,"Midland, TX",117807,137.00,52.90,859.9051094890511
240,272,"Monroe, LA",116533,212.20,81.90,549.1658812441094
241,284,"Mayagüez, PR",109572,139.20,53.70,787.1551724137931
242,308,"Middletown, OH",97503,145.30,56.10,671.0461114934617
243,322,"Muncie, IN",90580,120.90,46.70,749.2142266335815
244,327,"Mandeville--Covington, LA",88925,169.90,65.60,523.3961153619776
245,345,"Manteca, CA",83578,56.50,21.80,1479.2566371681417
246,348,"Missoula, MT",82157,117.10,45.20,701.596925704526
247,362,"Madera, CA",78413,58.00,22.40,1351.948275862069
248,372,"Mansfield, OH",75250,130.30,50.30,577.5134305448963
249,393,"Morgantown, WV",70350,97.10,37.50,724.5108135942328
250,417,"Monessen--California, PA",66086,115.80,44.70,570.6908462867012
251,418,"Michigan City--La Porte, IN—MI",66025,100.90,39.00,654.3607532210109
252,435,"Mount Vernon, WA",62966,89.30,34.50,705.1063829787234
253,449,"Morristown, TN",59036,155.00,59.80,380.8774193548387
254,450,"Midland, MI",59014,116.20,44.90,507.8657487091222
255,453,"Middletown, NY",58381,81.10,31.30,719.8643649815044
256,456,"Mankato, MN",57584,68.30,26.40,843.1039531478771
257,469,"Manhattan, KS",54622,53.60,20.70,1019.0671641791045
258,490,"Monroe, MI",51240,83.10,32.10,616.6064981949459
259,160,"Nashua, NH—MA",226400,472.10,182.30,479.5594153780978
260,174,"Norwich--New London, CT—RI",209190,393.70,152.00,531.3436626873254
261,199,"North Port--Port Charlotte, FL",169541,308.10,118.90,550.2791301525479
262,216,"Nampa, ID",151499,179.70,69.40,843.066221480245
263,219,"New Bedford, MA",149443,142.70,55.10,1047.2529782761037
264,296,"Norman, OK",103898,116.20,44.90,894.130808950086
265,342,"Napa, CA",83913,66.90,25.80,1254.3049327354258
266,369,"Newark, OH",76068,109.10,42.10,697.2318973418882
267,495,"New Bern, NC",50503,112.40,43.40,449.31494661921704
268,103,"Oxnard, CA",367260,218.60,84.40,1680.0548947849954
269,195,"Olympia--Lacey, WA",176617,273.50,105.60,645.7659963436929
270,211,"Ocala, FL",156909,290.30,112.10,540.506372717878
271,252,"Odessa, TX",126405,152.60,58.90,828.3420707732635
272,376,"Oshkosh, WI",74495,79.80,30.80,933.5213032581454
273,391,"Owensboro, KY",70543,87.60,33.80,805.2853881278539
274,101,"Port St. Lucie, FL",376047,539.00,208.10,697.6753246753246
275,109,"Palm Coast--Daytona Beach--Port Orange, FL",349064,464.50,179.30,751.4833153928956
276,113,"Pensacola, FL—AL",340067,602.50,232.60,564.4265560165975
277,139,"Peoria, IL",266921,371.70,143.50,718.1086898036051
278,177,"Portland, ME",203914,352.00,135.90,579.3011363636364
279,215,"Port Arthur, TX",153150,273.40,105.60,560.16825164594
280,218,"Ponce, PR",149539,114.30,44.10,1308.3027121609798
281,229,"Panama City, FL",143280,238.00,91.90,602.0168067226891
282,236,"Pueblo, CO",136550,192.20,74.20,710.4578563995838
283,287,"Pottstown, PA",107682,204.20,78.80,527.335945151812
284,329,"Portsmouth, NH—ME",88200,240.00,92.70,367.5
285,336,"Port Huron, MI",87106,156.60,60.40,556.2324393358876
286,341,"Prescott Valley--Prescott, AZ",84744,132.00,51.00,642.0
287,394,"Porterville, CA",70272,53.10,20.50,1323.3898305084745
288,395,"Pocatello, ID",69809,80.30,31.00,869.3524283935243
289,411,"Parkersburg, WV—OH",67229,109.80,42.40,612.2859744990893
290,428,"Petaluma, CA",64078,55.20,21.30,1160.8333333333333
291,448,"Pittsfield, MA",59124,86.80,33.50,681.1520737327189
292,475,"Pine Bluff, AR",53495,96.30,37.20,555.5036344755971
293,497,"Pascagoula, MS",50428,102.40,39.50,492.4609375
294,127,"Rockford, IL",296863,396.30,153.00,749.0865505929851
295,130,"Round Lake Beach--McHenry--Grayslake, IL—WI",290373,395.20,152.60,734.7494939271255
296,140,"Reading, PA",266254,269.00,103.80,989.7918215613383
297,172,"Roanoke, VA",210111,321.60,124.20,653.3302238805969
298,239,"Racine, WI",133700,128.00,49.40,1044.53125
299,267,"Redding, CA",117731,184.00,71.10,639.8423913043479
300,288,"Rochester, MN",107677,131.00,50.60,821.9618320610687
301,295,"Rock Hill, SC",104996,247.70,95.60,423.8837303189342
302,352,"Rapid City, SD",81251,109.40,42.30,742.6965265082266
303,406,"Rocky Mount, NC",68243,119.00,46.00,573.4705882352941
304,444,"Rome, GA",60851,123.50,47.70,492.7206477732793
305,102,"Stockton, CA",370583,239.60,92.50,1546.6736227045076
306,123,"Santa Rosa, CA",308231,253.80,98.00,1214.4641449960598
307,126,"Shreveport, LA",298317,479.70,185.20,621.8824265165729
308,136,"South Bend, IN—MI",278165,417.20,161.10,666.7425695110259
309,138,"Springfield, MO",273724,368.60,142.30,742.6044492674986
310,144,"Savannah, GA",260677,428.60,165.50,608.2057862809146
311,146,"Santa Clarita, CA",258653,198.70,76.70,1301.7262204328133
312,156,"Salem, OR",236632,196.60,75.90,1203.6215666327569
313,184,"Santa Barbara, CA",195861,144.60,55.90,1354.5020746887967
314,188,"Salinas, CA",184809,126.80,49.00,1457.4842271293376
315,192,"Spartanburg, SC",180786,492.20,190.00,367.30190979276716
316,204,"Santa Cruz, CA",163703,151.10,58.40,1083.4083388484448
317,206,"Springfield, IL",161316,239.10,92.30,674.6800501882058
318,212,"Sioux Falls, SD",156777,166.20,64.20,943.303249097473
319,220,"Sebastian--Vero Beach South--Florida Ridge, FL",149422,250.30,96.70,596.971634039153
320,221,"Spring Hill, FL",148220,297.80,115.00,497.7165883143049
321,246,"Santa Maria, CA",130447,75.40,29.10,1730.0663129973473
322,253,"Saginaw, MI",126265,184.40,71.20,684.7342733188719
323,254,"Simi Valley, CA",125206,81.40,31.40,1538.157248157248
324,262,"South Lyon--Howell, MI",119509,266.20,102.80,448.9444027047333
325,263,"San German--Cabo Rojo--Sabana Grande, PR",118199,247.30,95.50,477.9579458147998
326,276,"Seaside--Monterey, CA",114237,100.20,38.70,1140.0898203592815
327,281,"St. Cloud, MN",110621,130.10,50.30,850.2767102229055
328,292,"Sioux City, IA—NE—SD",106494,140.80,54.40,756.3494318181818
329,305,"St. George, UT",98370,116.30,44.90,845.8297506448839
330,307,"Salisbury, MD—DE",98081,183.10,70.70,535.6690333151283
331,315,"San Angelo, TX",92984,120.90,46.70,769.0984284532672
332,318,"Slidell, LA",91151,151.80,58.60,600.467720685112
333,326,"Santa Fe, NM",89284,137.50,53.10,649.3381818181819
334,335,"State College, PA",87454,74.70,28.80,1170.7362784471218
335,337,"Springfield, OH",85256,126.80,49.00,672.3659305993691
336,354,"St. Joseph, MO—KS",81176,108.40,41.90,748.8560885608856
337,380,"Sumter, SC",73107,170.10,65.70,429.7883597883598
338,388,"Sheboygan, WI",71313,86.60,33.40,823.4757505773673
339,399,"St. Augustine, FL",69173,111.50,43.10,620.3856502242153
340,427,"Saratoga Springs, NY",64100,117.80,45.50,544.1426146010186
341,438,"Sherman, TX",61900,93.10,35.90,664.8764769065522
342,439,"Sebring--Avon Park, FL",61625,119.60,46.20,515.2591973244147
343,447,"San Luis Obispo, CA",59219,52.90,20.40,1119.4517958412098
344,461,"Staunton--Waynesboro, VA",56611,98.80,38.10,572.9858299595141
345,479,"San Marcos, TX",52826,68.90,26.60,766.7053701015965
346,480,"Sierra Vista, AZ",52745,78.40,30.30,672.7678571428571
347,128,"Trenton, NJ",296668,273.40,105.60,1085.1060716898319
348,153,"Tallahassee, FL",240223,327.60,126.50,733.2814407814408
349,168,"Thousand Oaks, CA",214811,221.80,85.60,968.4896302975653
350,217,"Topeka, KS",150003,206.10,79.60,727.8165938864629
351,233,"Tuscaloosa, AL",139114,231.80,89.50,600.1466781708369
352,247,"Tyler, TX",130247,233.70,90.20,557.3256311510484
353,293,"Texas City, TX",106383,196.90,76.00,540.2894870492636
354,300,"Turlock, CA",99904,66.80,25.80,1495.5688622754492
355,316,"Terre Haute, IN",92742,138.40,53.50,670.1011560693642
356,323,"Temple, TX",90390,140.10,54.10,645.1820128479658
357,334,"Tracy, CA",87569,57.60,22.30,1520.295138888889
358,365,"Texarkana--Texarkana, TX—AR",78162,166.80,64.40,468.59712230215825
359,429,"Twin Rivers--Hightstown, NJ",64037,91.30,35.20,701.3910186199344
360,470,"Titusville, FL",54386,77.90,30.10,698.1514762516045
361,268,"Utica, NY",117328,161.60,62.40,726.0396039603961
362,487,"Uniontown--Connellsville, PA",51370,100.60,38.80,510.6361829025845
363,114,"Victorville--Hesperia, CA",328454,432.10,166.80,760.1342281879195
364,162,"Visalia, CA",219454,164.30,63.40,1335.6908094948265
365,203,"Vallejo, CA",165074,108.80,42.00,1517.2242647058824
366,310,"Vineland, NJ",95259,160.30,61.90,594.2545227698066
367,314,"Vacaville, CA",93141,71.00,27.40,1311.8450704225352
368,367,"Valdosta, GA",77085,144.30,55.70,534.1995841995841
369,434,"Victoria, TX",63683,75.20,29.00,846.8484042553191
370,489,"Villas, NJ",51291,87.70,33.90,584.8460661345496
371,161,"Wilmington, NC",219957,346.50,133.80,634.7965367965368
372,179,"Winter Haven, FL",201289,348.00,134.40,578.4166666666666
373,185,"Waterbury, CT",194535,233.80,90.30,832.0573139435414
374,196,"Waco, TX",172378,233.80,90.30,737.2882805816937
375,242,"Warner Robins, GA",133109,260.60,100.60,510.7789716039907
376,278,"Waterloo, IA",113418,161.20,62.20,703.5856079404467
377,283,"Waldorf, MD",109919,176.10,68.00,624.1851220897217
378,301,"Wichita Falls, TX",99437,130.40,50.40,762.5536809815951
379,353,"Wheeling, WV—OH",81249,121.80,47.00,667.0689655172414
380,371,"Williamsburg, VA",75689,144.80,55.90,522.71408839779
381,375,"Wausau, WI",74632,121.40,46.90,614.7611202635914
382,378,"Watsonville, CA",73534,59.20,22.80,1242.1283783783783
383,383,"Westminster--Eldersburg, MD",72714,149.40,57.70,486.7068273092369
384,389,"Weirton--Steubenville, WV—OH—PA",70889,130.80,50.50,541.9648318042813
385,398,"Winchester, VA",69449,96.30,37.20,721.1734164070613
386,405,"West Bend, WI",68444,99.70,38.50,686.4994984954865
387,412,"Wenatchee, WA",67227,81.30,31.40,826.9003690036901
388,455,"Watertown, NY",57840,106.00,40.90,545.6603773584906
389,462,"Williamsport, PA",56142,68.60,26.50,818.396501457726
390,464,"Walla Walla, WA—OR",55805,71.70,27.70,778.3124128312412
391,465,"Woodland, CA",55513,31.60,12.20,1756.740506329114
392,158,"York, PA",232045,342.40,132.20,677.7015186915888
393,238,"Yuma, AZ—CA",135267,152.30,58.80,888.161523309258
394,248,"Yakima, WA",129534,155.00,59.80,835.7032258064517
395,270,"Yuba City, CA",116719,100.10,38.70,1166.023976023976
396,319,"Yauco, PR",90899,120.60,46.60,753.7230514096186
397,415,"Zephyrhills, FL",66609,112.70,43.50,591.0292812777285
398,4,"Miami, FL",5502379,3208.00,1238.60,1715.2054239401496
399,13,"San Francisco--Oakland, CA",3281212,1356.20,523.60,2419.4160153369708
400,15,"San Diego, CA",2956746,1896.90,732.40,1558.7252886288154
401,17,"Tampa--St. Petersburg, FL",2441770,2478.60,957.00,985.1408052933108
402,19,"Baltimore, MD",2203663,1857.10,717.00,1186.615152657369
403,21,"San Juan, PR",2148346,2244.70,866.70,957.074887512808
404,23,"Las Vegas--Henderson, NV",1886011,1079.60,416.80,1746.9535012967767
